NAME,REFERENCE,ASSETTYPE,ASSETLOCATION,CNTR_X,CNTR_Y
Lower Hey Farm Culvert/screen,0372/9,Complex Culvert,Rishworth,405167.014,417154.026
Lower hey farm culvert,0493/1,Complex Culvert,Rishworth,405367.038,417028.964
Whinney hill park bridge,0414/14,Complex Culvert,Brighouse,414486.995,424519.03
Midgehole bridge 2,82634,Bridge Abutment,Midgehole,398790.04,429055.061
"Bank House Lane, Wainstalls",0164/8,Attenuation Pond,Booth,403889.47502853,427936.82048906
Colden Water (east),0191_54,Attenuation Pond,Colden - On left bank of Colden Water next to the Pennine Way.,396907.018,428188.048
Colden Water (west),0191_57,Attenuation Pond,Colden - On the Pennine Way on left bank of Colden Water.,396857.037,428194.981
"White Slack Gate, Walsden",0197/4,Attenuation Pond,Todmorden - White Slack Lane,392570.41012126,420516.12659463
Higher Dam,0222/6,Attenuation Pond,Hebden Bridge - Winter's Lane.,397077.80077623,427019.58916417
"School Land Lane, Colden",0226/4,Attenuation Pond,Colden - School Land Lane,395320.23980727,429058.58734527
Ramsden Clough,0291_001,Attenuation Pond,Todmorden - Foul Clough Road,391531.017,421328.01
Lake /Reservoir,0314/1,Attenuation Pond,Clough Foot,391005.00834033,422938.8691184
"High Cote Dam, Lumb Lane, Wainstalls",0340/5,Attenuation Pond,Wainstalls,404344.57747086,429802.86894336
"Heeley Dam, Long Causeway, Mankinholes",0363/2,Attenuation Pond,Lumbutts - Lumbutts Road,395821.51429755,423232.97648262
"Lee Dam, Lee Lane, Mankinholes",0063/1,Attenuation Pond,Lumbutts - Lee Lane.,395718.46074042,423269.56702539
Fountain Reservoir,0503/058,Attenuation Pond,Wainstalls,402363.76764006,430008.49834273
Lake /Reservoir,0503/191,Attenuation Pond,Pecket Well,402153.26685063,430471.3302915
Lake /Reservoir,0503/203,Attenuation Pond,Pecket Well,402170.76880682,430756.19702099
Lake /Reservoir,0503/237,Attenuation Pond,Pecket Well,402303.36449615,430137.93119859
"Cold Edge Dams, Lumb Lane, Wainstalls",0539/12,Attenuation Pond,Wainstalls,404586.24347223,429881.86369618
Mixenden Reservoir,0545/19,Attenuation Pond,Halifax,406008.24770497,428910.29467316
"South Reservoir, Slack Lane, Booth",97987,Attenuation Pond,Booth,403035.2887872,427683.92898352
"North Reservoir, Slack Lane, Booth",97989,Attenuation Pond,"Luddenden - Slack Lane, Booth.",402936.724066,427791.38559221
"Willow Valley pond 1, Brighouse",0251/001,Attenuation Pond,Brighouse - Willow Valley Golf,416640.42990867,423501.33789538
"Willow Valley pond 2, Brighouse",0618/002,Attenuation Pond,Brighouse - Willow Valley Golf,416420.61109752,423381.31847625
"Gadding Dam, Walsden",0700/7,Attenuation Pond,Lumbutts - Lumbutts Road,394858.39527973,422400.09919638
"Shoebroad Dam, Todmorden",0723/2,Attenuation Pond,Todmorden - Shoebroad Lane.,393470.97199073,423598.65088774
"Upper Lake, Badger Lane, Hipperholme",0789/3,Attenuation Pond,Brighouse - Badger Lane.,412082.03390884,424787.84928084
"Lumbutts Road, Todmorden",0494/003,Attenuation Pond,Todmorden - Lumbutts Road.,393912.22351835,423250.16547223
Timber Footbridge,0222/8,Complex Culvert,Hebden Bridge,397133.643,426821.623
Walshaw Dean Lower Reservoir culvert,,Complex Culvert,Colden,395336.04,432600.961
Pennine Way culvert 2,,Complex Culvert,Hebden Bridge,398066.991,426133.983
"Thorney Lane, Booth",0035/1,Attenuation Pond,Luddenden,403750.69620155,427005.70099948
"Hollingworth Lane, Walsden",0051/5,Attenuation Pond,"Todmorden - Hollingworth Lane, Walsden.",393793.26640835,421938.47404779
"Wilcroft Terrace, Peckett Well",0054/29,Attenuation Pond,Pecket Well,399920.66356632,430161.75038106
"Styes Lane, Luddedenfoot",0096/16,Attenuation Pond,Luddenden Foot - Styes Lane,403810.92516977,424079.76560805
"Lumb Lane, Wainstalls",0164/021,Attenuation Pond,Wainstalls - Lumb Lane.,404671.00243843,429292.52691252
"Jowler, Wainstalls",0164/10,Attenuation Pond,Booth,404055.05684621,428006.32426438
"Lumb Lane, Wainstalls",0164/77,Attenuation Pond,Wainstalls - Lumb Lane,404705.3636467,428839.62485622
Hollin Lane Culvert 2,,Complex Culvert,Ripponden,401868.019,419261.932
Hollin Lane Culvert,,Complex Culvert,Ripponden,401897.003,419134.997
Rochdale Road Culvert,,Complex Culvert,Ripponden,401828.004,419002.017
Blackstone Edge Road Culvert 3,,Complex Culvert,Cragg Vale,398822.99,420275.963
Culvert under track,0586/6,Complex Culvert,Hebden Bridge,397256.018,426091.008
Stoodley Lane Culvert,,Complex Culvert,Todmorden,396355.998,424939.994
Culvert under track,0003/3,Complex Culvert,Pecket Well,398607.002,430421.052
Dry Culvert on woodland track,0006/2,Complex Culvert,Pecket Well,398714.027,430575.009
Dry Carr Lane Culvert,0252/5,Complex Culvert,Booth,403176.749,427887.56
Private Estate Culvert 2,,Complex Culvert,Brighouse,417426.049,422109.034
Blackstone edge road culvert,,Complex Culvert,Cragg Vale,399211.012,420670.966
Roger Gate Culvert,0785/16,Complex Culvert,Mytholmroyd,400435.787,426369.431
Rud lane Culvert 4,0686/13,Complex Culvert,Cragg Vale,399231.026,423332.004
Withens Lane Culvert,0686/2,Complex Culvert,Cragg Vale,399032.99,423612.961
Clifton Common Culvert,0188/3,Complex Culvert,Brighouse,415150.98,422926.985
Armytage Road Culvert,,Complex Culvert,Brighouse,415003.006,422684.978
Culvert under access track - Greenland Road,,Complex Culvert,Blackshaw Head,393558.254,427855.473
Grey Stone Lane Footbridge,,Complex Culvert,Upper Eastwood,395939.859,425998.888
Grey Stone Lane Culvert,0337/5,Complex Culvert,Upper Eastwood,395954.732,425958.487
Rochdale Road Culvert 2,,Complex Culvert,Ripponden,401697.987,419164.963
Lower woodfield farm culvert,,Complex Culvert,Clough Foot,391369.003,424454.018
Otter Lee Lane asset,,Complex Culvert,Cotton Stones,402930.988,421799.024
Culvert under bridleway,,Complex Culvert,Pecket Well,399477.998,432410.001
Walshaw Culvert 2,,Complex Culvert,Shackleton,397470.201,431558.432
Private Estate Culvert 3,,Complex Culvert,Brighouse,417032.02,422502.018
Black Stone Edge Culvert 9,,Complex Culvert,Cragg Vale,399906.024,422461.044
Hebden Bridge Road Culvert 5,0677/18,Complex Culvert,Pecket Well,401092.015,432462.021
Private Estate Culvert 1,,Complex Culvert,Brighouse,417553.997,422024.948
Long Causeway Culvert,,Complex Culvert,Ripponden,401250.986,418426.967
NonMainRiver_RoadsNotMotorways,0007/3,Complex Culvert,Pecket Well,398635.985,430562.015
National trust woodland culvert 2,0007/2,Complex Culvert,Pecket Well,398673.022,430546.983
Pennine Way culvert 1,0044/18,Complex Culvert,Hebden Bridge,398011.028,426093.064
NationalTrail_OfflineDrains,,Complex Culvert,Hebden Bridge,398308.988,426666.039
Blake Law Lane Culvert,,Complex Culvert,Brighouse,416864.012,422717.036
M62 Motoway Culvert,,Complex Culvert,Brighouse,416898.012,422661.973
Moselden Lane Culvert 5,,Complex Culvert,Booth Wood,403239.007,416463.021
Pike End Road Culvert,,Complex Culvert,Booth Wood,403015.996,417044.966
Pike End Road Culvert 2,,Complex Culvert,Rishworth,402955.027,417416.967
Moselden Lane Culvert 4,,Complex Culvert,Booth Wood,403268.017,416480.062
Moselden Lame Culvert 3,,Complex Culvert,Booth Wood - Culvert beneath Moselden Road,403676.029,416761.053
Moselden Lane Culvert,,Simple Culvert,Booth Wood - Culvert beneath Moselden Lane.,403902.002,416977.068
Oldham Road Culvert 2,,Complex Culvert,Booth Wood,403418.03,417033.999
Rishworth Mill Lane Sluice Gate,,Control Gates,Rishworth,403614.979,417795.012
Moselden Lame Culvert 2,,Simple Culvert,Booth Wood - Culvert beneath Moselden Lane.,403807.027,416873.969
Oldham Road Culvert,,Complex Culvert,Booth Wood,403295.022,416728.071
Ringstone Edge Reservoir,,Complex Culvert,Rishworth,404915.983,417790.034
Culvert under track,0587/3,Complex Culvert,Hebden Bridge,397229.971,426007.022
Yorkshire Water Stone Culvert,,Complex Culvert,Colden,394752.911,432027.593
Box culvert inlet,,Complex Culvert,Wainstalls,402918.43,428778.808
Blackstone Edge Road Culvert 3,,Complex Culvert,Ripponden,398541.031,419988.988
Castle Carr Road Culvert 2,,Complex Culvert,Wainstalls,403126.992,429073.986
Stone arch culvert,,Complex Culvert,Shackleton,396042.038,433507.977
Broadhead Clough Culvert 2,0115/1,Complex Culvert,Mytholmroyd,400044.017,425023.956
NonMainRiver_RoadsNotMotorways,,Complex Culvert,Wainstalls - Castle Carr Road,404297.024,428836.018
Hebden Bridge Road Culvert 1,,Complex Culvert,Pecket Well,400726.996,432139.972
Hebden Bridge Road Culvert 3,,Complex Culvert,Pecket Well,400978.066,432298.781
Cragg Road Culvert,,Complex Culvert,Mytholmroyd,400641.994,425115.997
Rochdale Road Culvert 3,,Complex Culvert,Ripponden,401671.996,419248.954
NonMainRiver_RoadsNotMotorways,0164/30,Simple Culvert,Wainstalls,404184.023,428442.07
Stony Lane Culvert,,Complex Culvert,Ripponden,403860.016,420029
Upper Birks Culvert,,Complex Culvert,Cragg Vale,400793.973,423961.035
Bowood Lane Culvert,,Complex Culvert,Triangle,403766.185,422143.489
Culvert into road drainage,,Complex Culvert,Pecket Well,400051.033,431245.054
Pennine Way Culvert 2,0141/1,Complex Culvert,Hebden Bridge,397593.006,426436.059
Hebden Bridge Road Culvert 2,0456/2,Complex Culvert,Pecket Well,400922.266,432270.288
Upper Birks Culvert 2,,Simple Culvert,Cragg Vale,400802.029,423937.004
Walshaw Lane Culvert,,Complex Culvert,Shackleton,397459.6,431574.459
Lane Head Lane Bridge,0358/68,Complex Culvert,Brookhouse,406264.997,429943.986
Culvert under road,,Complex Culvert,Shackleton,398771.02,429656.958
Hebden Bridge Road Culvert 4,,Complex Culvert,Pecket Well,401093.016,432399.048
Dry Carr Lane Culvert 2,0252/5,Complex Culvert,Booth - Dry Carr Lane up from Clough Lane,403190.875,427868.099
Cross Lee Road Culvert 2,,Complex Culvert,Todmorden,392941.306,425858.601
Culvert under track in NT woods,0005/4,Complex Culvert,Pecket Well,398696.03,430563.999
Windle Hill Lane Culvert,,Complex Culvert,Mytholmroyd,401467.011,424694.044
Black Stone Edge Road Culvert 2,,Complex Culvert,Cragg Vale,399154.981,420572.066
White Holme Reservoir Rd Culvert 2,,Complex Culvert,Warland,397668.009,418794.09
NonMainRiver_RoadsNotMotorways,0503/52,,Luddenden Foot,403775.546,425130.191
Culvert under track,0625/15,Complex Culvert,Hebden Bridge,396995.003,425580.041
Blackshaw Clough Culvert 3,,Simple Culvert,Lighthazles,402496.974,420266.986
Foxen Lane Culvert,,Complex Culvert,Mill Bank,403454.029,421160.972
Warley Wood Lane Culvert,,Complex Culvert,Halifax,404855.987,424274.015
Redacre Wood Culvert,0387/8,Complex Culvert,Mytholmroyd,400880.718,426570.528
Crimsworth Dene Culvert 3,0001/2,Complex Culvert,Pecket Well,398637.011,430282.964
Warland clay pipe culvert,0201/3,Complex Culvert,Warland,394878.234,420186.747
Winters Lane Culvert 2,0222/22,Complex Culvert,Hebden Bridge,397067.865,427005.135
Broad Head End Culvert,0115/2,Complex Culvert,Mytholmroyd,400057.018,425063.008
Saville Road Culvert,0538/19,Complex Culvert,Hebden Bridge,398165.555,427386.727
Culvert under henden road,0048/5,Complex Culvert,Pecket Well,400321.009,431755.971
Rectangular culvert in farmland,,Complex Culvert,Pecket Well,398575.933,430725.37
Culvert by Leewood Road,0420/4,Complex Culvert,Hebdend Bridge - Leewood Road,399015.0305,428334.95
Cragg Road Culvert 2,0272/1,Complex Culvert,Cragg Vale,400815.999,424630.038
Old Laithe Lane Culvert 2,,Complex Culvert,Hebden Bridge,400439.288,428470.119
Laithe culvert,,Complex Culvert,Hebden Bridge,400617.981,428487.042
Slack Lane Asset,,Complex Culvert,Booth,403167.982,427780.077
Cow lane culvert,,Complex Culvert,Shackleton,398279.977,429531.963
White Holme Reservoir Rd Culvert 1,,Complex Culvert,Warland,397702.485,418763.143
NonMainRiver_RoadsNotMotorways,,Complex Culvert,Clough Foot,390813.967,425017.962
Gough lane culvert,,Complex Culvert,Lighthazles,403037.014,421083.038
Lighthazles road culvert,,Complex Culvert,Lighthazles,402583.027,421082.001
Hill Top Lane Culvert,,Complex Culvert,Cragg Vale,399904.017,423335.942
Culvert pipe,0218/7,Complex Culvert,Pecket Well,399556.021,432024.026
Haults Lane Culvert inlet,,Complex Culvert,Elland,409241.028,421419.066
Lower mill lane culvert,0630/1,Complex Culvert,Midgehole,399133.572,428866.511
Cross Lane Culvert 2,0877/1,Complex Culvert,Elland,410376.017,420368.01
Cross Lane Culvert,0877/3,Complex Culvert,Elland,410348.025,420361.051
Haworth Old Road Culvert 1,,Complex Culvert,Pecket Well,399484.027,431262.005
Inlet/culvert,0164/135,Complex Culvert,Wainstalls,404683.968,429679.03
Blackstone Edge Road Culvert 6,,Complex Culvert,Cragg Vale,399036.981,420437.019
Owlers Road Culvert,0566/2,Complex Culvert,Hebden Bridge,400603.029,426954
White Holme Reservoir Rd Culvert 3,,Complex Culvert,Warland,397657.839,418804.887
Withens Lane Asset,0686/2,Complex Culvert,Cragg Vale,399027.112,423600.835
Shaw Wood Avenue Inlet,0709/21,Complex Culvert,Todmorden,395948.471,424689.009
Wall culvert,0725/14,Complex Culvert,Hebden Bridge,401678.944,429470.899
Akroyd Lane Culvert,0011/13,Complex Culvert,Pecket Well,399638.646,429070.365
Pecket Well Culvert,0741/7,Complex Culvert,Pecket Well,400418.878,430086.696
Broadhead Clough Culvert 1,0752/3,Complex Culvert,Mytholmroyd,400040.52,425044.205
Lady Royd Farm culvert,0517/2,Complex Culvert,Shackleton,397720.143,430409.182
Winters Lane Culvert,0522/2,Complex Culvert,Hebden Bridge,396758.396,426945.711
Reddyshore Scout Gate Culvert 1,0547/20,Complex Culvert,Todmorden,393830.548,420261.366
Reddyshore Scout Gate Bridge,0547/22,Complex Culvert,Todmorden,393737.394,420250.255
Bowood Lane Culvert 2,0573/14,Complex Culvert,Triangle,403940.727,422437.787
Acre Farm Culvert,0574/5,Complex Culvert,Slack,397225.939,429281.505
Ogden Lane Culvert,0590/3,Complex Culvert,Ogden,406673.106,430654.843
Crimsworth Dene Culvert,0597/4,Complex Culvert,Pecket Well,398980.183,429608.84
Coiners Barn Culvert,0600/6,Complex Culvert,Cragg Vale,399685.912,424576.925
Stocks lane culvert - nothing here,98396,Complex Culvert,Booth,404730.165,427142.156
Old Riding Lane Drain /Pipe,0602/8,Complex Culvert,Booth,404571.813,426986.91
Cragg Road Culvert / Dropshaft,0612/4,Complex Culvert,Mytholmroyd,400790.444,424752.42
Ogden Resevoir Culvert Inlet,0591/10,Complex Culvert,Ogden,406586.999,430630.803
White Field Land Drain /Pipe,0621/6,Simple Culvert,Mytholmroyd,400282.288,425803.335
SOLVAY factory asset,0404/62,Complex Culvert,Holywell Green,409066.994,420062.703
Culvert under footpath,98416,Complex Culvert,Pecket Well,398914.298,430235.597
Drain /Pipe,0411/3,Complex Culvert,Todmorden,395378.84,424721.826
Cragg Road Vehicular bridge,0612/9,Complex Culvert,Mytholmroyd,400891.022,424711.047
Soaper Lane Culvert,,Complex Culvert,Shelf - Soaper Lane,412730.99,429713.94
Cooper Lane Culvert,,Complex Culvert,Shelf,412868.982,429491.022
Small culvert/inlet,,Complex Culvert,Halifax,406217.995,424301.848
Culvert under farm yard,0517/16,Complex Culvert,Shackleton,397678.997,429775.002
Twin culvert,0706/25,Complex Culvert,Shackleton,398310.976,429218.989
Blackshaw Clough Culvert 2,,Complex Culvert,Lighthazles,402410.982,420660.021
Hardcastle Crags culvert under path,0293/3,Complex Culvert,Shackleton,398563.936,429184.52
NonMainRiver_RoadsNotMotorways,,Complex Culvert,Cotton Stones,402908.984,421485.044
NonMainRiver_RoadsNotMotorways,0247/1,Complex Culvert,Todmorden - Dobroyd Road,393082.965,423600.988
Gorple Reservoir Vehicular bridge,,Complex Culvert,Colden - Lower Gorple Reservoir,394394.03,431668.986
Culvert under hebden road,0046/7,Complex Culvert,Pecket Well,400310.989,431870.014
Elland Road Culvert,,Complex Culvert,Brighouse,413599.001,423415.032
Old Pack Horse Road timber footbridge,,Complex Culvert,Ripponden,398131.91,417645.631
Godly Lane Culvert,,Complex Culvert,Rishworth,403265.982,417953.967
Oldham Road Culvert 2,,Complex Culvert,Rishworth,403437.976,418002.037
Turvin Road Culvert,,Complex Culvert,Warland,397797.681,418721.376
Oldham Road Culvert,,Complex Culvert,Rishworth,403442.02,418359.941
Old Lane Bridge /Footbridge,0630/28,Complex Culvert,Pecket Well,399844.119,429693.712
Widdop road Culvert Inlet,0639/2,Complex Culvert,Slack,396774.851,430392.286
Wood Bottom Lane Culvert,0653/4,Complex Culvert,Brighouse,413221.379,423712.468
Reck Beck Stop Log,0653/40,In Channel Stop Logs,Brighouse,412024.166,424904.006
Baulk Head Lane Culvert 2,0675/15,Complex Culvert,Todmorden,395513.517,424907.383
Baulk Lane Culvert 4,0675/7,Complex Culvert,Todmorden,395498.994,424770.992
Height Road Culvert 4,0680/8,Simple Culvert,Mytholmroyd,401609.029,427072.928
East Lee woods footbridge,0422/18,Complex Culvert,Todmorden,395817.971,425319.532
Rosemary Lane Culvert,0437/10,Complex Culvert,Brighouse,414238.547,422205.3885
Castlefields Drive,0437/13,Complex Culvert,Brighouse,413834.916,421743.641
Culvert up from Cow Heys Lane,0440/7,Complex Culvert,Shackleton,397642.355,430871.966
Goit Side damaged foot bridge,0503/59,Complex Culvert,Booth,404318.068,427274.395
Kiln House Bridge,0444/16,Complex Culvert,Booth,404345.909,427340.063
Crossley New Rd Culvert,0451/2,Complex Culvert,Upper Eastwood,395475.341,425923.568
Lee Side Farm Screen,0473/5,Screen,Mankinholes,396633.758,424362.111
Lower Fold Farm Culvert,0492/14,Complex Culvert,Colden,395203.056,429517.736
Bridge /Footbridge,98440,Complex Culvert,Wainstalls,404164.869,428478.881
Bridge /Non-Vehicular,0261/44,Complex Culvert,Blackshaw Head,394691,427572.282
Whitty Lane Culvert,0276/8,Complex Culvert,Warley Town,405857.583,424458.491
Hays Lane Asset,98467,Complex Culvert,Upper Brockholes,406352.657,429456.899
Culvert /Formed by spanning structure,0363/5,Complex Culvert,Lumbutts,395956.581,423182.983
Incredible Farm Culvert 2,0363/9,Complex Culvert,Mankinholes,396110.047,423093.73
Low Lane culvert 1,0364/12,Complex Culvert,Wainstalls,402716.774,428943.015
Castle Carr Road Culvert 3,0364/23,Complex Culvert,Wainstalls,402942.735,429257.775
Bing Road Pipe in Stream/Diagonal,0387/10,Complex Culvert,Mytholmroyd,400849.66,426493.643
Raw Lane culvert 2,0387/18,Complex Culvert,Mytholmroyd,401082.812,427038.967
Bank House Lane Culvert,0164/11,Complex Culvert,Booth,404120.895,428004.983
Bridge /Footbridge,0164/117,Complex Culvert,Wainstalls,404468.976,428701.777
Lumb Lane Culvert,0164/134,Complex Culvert,Wainstalls,404698.902,429642.886
Low Lane culvert 3,0164/138,Complex Culvert,Wainstalls,404840.887,429266.869
Bridge /Pipe Supported,0164/19,Complex Culvert,Wainstalls,404125.007,428286.922
Kell Lane Culvert,0164/98,Complex Culvert,Wainstalls,404360.84,428627.026
Screen/Grille /US - With Overtop Facility,0183/5,Screen,Todmorden,393890.062,420752.833
Warland culvert under road 2,0201/6,Complex Culvert,Warland,394970.72,420314.368
Warland stone culvert,0201/1,Complex Culvert,Warland,394899.046,420190.84
Blackstone Edge Culvert 8,0202/4,Complex Culvert,Cragg Vale,399967.35,422209.382
Cow Lane Culvert 3,0203/2,Complex Culvert,Shackleton,398354.609,429543.616
Crimsworth Dene Culvert 1,0526/3,Complex Culvert,Shackleton,398672.839,430195.054
Bridge /Footbridge,0212/3,Complex Culvert,Lumbutts,395370.395,423510.98
Cross Ends Lane Culvert,0218/4,Complex Culvert,Pecket Well,399532.07,431775.026
Culvert under road.,0261/32,Complex Culvert,Blackshaw Head,394727.951,427529.737
Culvert under farm track,0006/5,Complex Culvert,Pecket Well,398672.863,430663.143
Crimsworth Dene Culvert 4,98519,Complex Culvert,Pecket Well,398691.86,430709.979
Crimsworth Dean Footbridge,0008/2,Complex Culvert,Pecket Well,398920.247,429824.14
Midgehole Road Culvert,98523,Complex Culvert,Midgehole,399388.121,428715.937
Hardcastle Craggs culvert 2,0292/1,Complex Culvert,Shackleton,398558.303,429094.405
Plastic pipe culvert by footpath,0320/13,Complex Culvert,Colden,395348.568,429593.464
Cross Stone Road Culvert 1,0324/18,Complex Culvert,Todmorden,395256.001,425635.739
Pipe in Stream/Transverse,98466,Complex Culvert,Halifax,406452.862,428824.982
Cragg Road Asset,98596,Complex Culvert,Mytholmroyd,400501.989,424814.247
Old Lane Culvert 1,0630/26,Complex Culvert,Pecket Well,399792.365,429618.507
Cross Lee Road Culvert 1,0631/9,Complex Culvert,Todmorden,392983.31,425800.569
Brookfoot Lane Bridge,0653/117,Bridge Abutment,Brighouse,413484.152,423434.396
Brookfoot Lane asset,98602,Complex Culvert,Brighouse,413326.53,423500.036
Brookfoot Lane Footbridge,0653/130,Complex Culvert,Brighouse,413447.339,423473.342
Red Beck Bridge,0653/32,Complex Culvert,Brighouse,412207.095,424723.007
Bridge /Vehicular,0656/6,Complex Culvert,Pecket Well,400181.506,432800.366
Roms Clough wooden trap - remove,0677/11,Simple Culvert,Pecket Well,400749.361,432424.132
Roms Clough wooden trap 2 - remove,98613,Simple Culvert,Pecket Well,400593.679,432411.096
Saltonstall Lane Culvert,98615,Complex Culvert,Wainstalls,403837.284,428473.047
Gaddings Dam stone footbridge,0700/1,Complex Culvert,Lumbutts,394592.619,422632.452
Lady Royd Farm Culvert 2,0706/16,Complex Culvert,Shackleton,397822.299,430261.596
Low Lane culvert 2,0487/5,Complex Culvert,Wainstalls,402514.952,429074.856
Haworth Old Road Culvert 2,0506/9,Complex Culvert,Pecket Well,399477.237,431244.65
Causeway wood road culvert 1,0507/28,Complex Culvert,Lumbutts,395393.469,423482.697
Lee Dam Bridge / Vehicular,0507/38,Complex Culvert,Lumbutts,395735.034,423309.576
Dark Lane Culvert,0516/2,Complex Culvert,Hebden Bridge,397596.838,427297.991
Hardcastle Crags culvert / ford crossing,0574/8,Complex Culvert,Slack,397325.143,429472.694
Stainland Road Asset,98649,Bridge Abutment,Elland,409392.945,421034.968
Slack Lane Culvert 2,0552/20,Complex Culvert,Booth,403104.709,427614.813
Ogden Resevoir Access Bridge,0591/3,Complex Culvert,Ogden,406568.918,430647.022
Mill Lane Screen/Grille /US - With Overtop Facility,0035/17,Screen,Luddenden,404164.752,426774.929
Pennine Way culvert 3,0264/2,Complex Culvert,Hebden Bridge,397971.022,426036.895
Hebden Bridge Road Culvert,0047/6,Complex Culvert,Pecket Well,400116.543,431830.4
Crimsworth Dene Culvert 4,0054/1,Complex Culvert,Pecket Well,399150.963,429460.833
Woodbank Valve /Penstock,0139/12,Control Gates,Warland,394643.951,420201.702
Pennine Way Pipe,98548,Simple Culvert,Hebden Bridge,397579.014,426424.607
Old Lane Culvert 2,0754/12,Complex Culvert,Pecket Well,399955.792,429692.706
Old Lane Culvert 3,0754/6,Complex Culvert,Pecket Well,399911.755,429662.557
Reservoir trash screen,0763/12,Screen,Upper Eastwood,396023.737,426485.35
Culvert off Eastwood Road,0763/15,Complex Culvert,Blackshaw Head,394734.149,427006.586
Bridge /Non-Vehicular,0763/22,Complex Culvert,Blackshaw Head,395515.313,427001.069
Culvert by Staups Lane,0763/23,Complex Culvert,Blackshaw Head,395640.984,426950.212
Bottomley Rd Footbridge,0767/16,Complex Culvert,Todmorden,394295.663,420911.625
Stubbs Lane culvert,0785/23,Complex Culvert,Mytholmroyd,400367.116,426286.427
Stone footbridge,98574,Complex Culvert,Mytholmroyd,400348.382,426244.037
Thornehills Beck Lane Culvert,98578,Complex Culvert,Brighouse,414858.218,423781.069
Thornehills Beck Culvert,0809/9,Complex Culvert,Thornhills,415142.681,424038.316
Rud Lane Culvert 8,0822/27,Complex Culvert,Cragg Vale,399191.617,422999.471
Upper Birks Culvert 4,0824/7,Complex Culvert,Cragg Vale,401015.619,423919.239
Kell Lane Culvert 2,0849/26,Complex Culvert,Wainstalls,404232.97,428645.492
Plains Lane Culvert inlet,0892/8,Complex Culvert,Elland,410729.753,422126.906
Upper Birks Culvert 5,0893/6,Complex Culvert,Cragg Vale,401015.388,424112.607
Mankinholes culvert way up on the hill,0363/14,Complex Culvert,Mankinholes,396626.725,422996.525
Heatherbank Culvert,98668,Complex Culvert,Todmorden,393636.239,422170.307
Raw Lane culvert 3,0386/4,Complex Culvert,Mytholmroyd,401222.813,426888.909
Broad Carr Lane,0398/9,Complex Culvert,Holywell Green,409342.845,419763.508
Jerusalem Road Gully,0434/3,Screen,Booth,403632.786,427791.083
Plastic piped culvert,0440/8,Complex Culvert,Shackleton,397478.209,430926.126
Cross Ends Lane Culvert 2,98696,Complex Culvert,Pecket Well,399579.559,431604.345
Bridge /Vehicular,0288/3,Complex Culvert,Mytholmroyd,401857.146,427132.983
Cross Stone Road Footbridge,0324/12,Complex Culvert,Todmorden,395131.643,425707.968
Cross Stone Road culvert 2,0324/21,Complex Culvert,Todmorden,395297.052,425583.626
Rud Lane Culvert 3,0328/3,Complex Culvert,Cragg Vale,398568.358,423409.93
Eastwood Lane Culvert,0257/6,Complex Culvert,Todmorden,396377.467,425535.886
Lee Mill Road Footbridge,0361/12,Complex Culvert,Hebden Bridge,399194.703,428251.244
Billy Lane Culvert,98723,Complex Culvert,Hebden Bridge,400227.757,428398.908
Cragg Lane Culvert,98724,Complex Culvert,Cragg Vale,400264.291,424556.556
Upper Saltonstall Culvert,98738,Complex Culvert,Wainstalls,403666.98,428623.001
Castle road culvert 2,0152/8,Complex Culvert,Wainstalls,403805.01,428763.178
Moor Non-Vehicular bridge 1,0161/30,Complex Culvert,Pecket Well,401388.125,430058.711
Pipe in Stream/Diagonal,0164/54,Simple Culvert,Booth,403965.101,428039.01
Lumb Lane Valve /Penstock,0164/79,Flood Gate,Wainstalls,404717.016,428852.985
Broken wooden bridge,0171/5,Complex Culvert,Warland,395126.39,419925.128
Wood Lane access Culvert,0180/1,Complex Culvert,Booth,403015.125,428079.16
Pipe in field above Hardcastle Crags,0203/14,Complex Culvert,Shackleton,398339.718,429743.326
Cow Lane Culvert 2,0203/11,Complex Culvert,Shackleton,398321.76,429670.46
Non-vehicular bridge above Harcastle Crags,0203/18,Complex Culvert,Shackleton,398441.53,429993.632
National Trust Culvert 1,98762,Complex Culvert,Pecket Well,398784.533,430304.727
Crimsworth Dene Culvert 5,0002/3,Complex Culvert,Pecket Well,398609.885,430371.761
Stone footbridge in National Trust woods,0004/3,Complex Culvert,Pecket Well,398807.18,430430.895
Stone Footbridge / culvert on footpath,0003/1,Complex Culvert,Pecket Well,398797.609,430386.392
Culvert under bridleway,0019/5,Complex Culvert,Pecket Well,399132.831,432111.434
Culvert /Formed by spanning structure,98769,Complex Culvert,Todmorden,395419.138,424699.087
Culvert under footpath,0038/7,Complex Culvert,Todmorden,395437.333,424940.505
Haworth Old Road Culvert 2,98772,Complex Culvert,Pecket Well,399701.836,431342.201
Old Lane Culvert 4,0054/7,Complex Culvert,Pecket Well,399393.678,429750.61
Cross Ends Lane Culvert 3,0218/1,Complex Culvert,Pecket Well,399471.411,431967.738
Culvert by Long Causeway,0221/12,Complex Culvert,Blackshaw Head,394391.622,427231.297
Winters Lane Culvert 1,0222/29,Complex Culvert,Hebden Bridge,397038.103,427084.929
Stone culvert,0240/5,Complex Culvert,Triangle,403872.396,422181.288
Culvert inlet,0240/8,Complex Culvert,Triangle,403848.502,422171.034
Broadhead Clough Road bridge,0253/1,Complex Culvert,Mytholmroyd,399982.579,424972.554
